time_us,detValue
742010,2.959600
743010,2.910
2096,0.686000
3010,2.597000
4010,2.611700
5010,2.660700
6010,2.886100
7010,2.587200
8010,2.822400
9010,2.680300
10010,2.797900
11010,2.812600
12010,2.886100
13010,2.699900
14010,2.763600
15010,2.793000
16010,2.842000
17010,2.895900
18010,2.670500
19010,2.582300
20010,2.744000
21010,2.797900
22010,2.675400
23010,2.817500
24010,2.778300
25010,2.670500
26010,2.866500
27010,2.621500
28010,2.709700
29010,2.876300
30010,2.748900
31010,2.851800
32010,2.959600
34010,2.670500
35010,2.773400
36010,2.572500
38010,2.660700
39010,2.763600
41010,2.557800
42010,2.729300
43010,2.621500
45010,2.680300
46010,2.734200
47010,2.802800
49010,2.709700
50010,2.660700
51010,2.783200
53010,2.744000
54010,2.538200
56010,2.886100
57010,2.783200
58010,2.724400
60010,2.636200
61010,2.611700
62010,2.734200
64010,2.856700
65011,2.851800
67010,2.920400
68010,2.587200
69010,2.773400
71010,2.704800
72010,2.675400
73010,2.729300
75010,2.704800
76010,2.636200
78010,2.891000
79010,2.626400
80010,2.832200
82010,2.753800
83010,2.714600
84010,2.724400
86010,2.552900
87010,2.797900
89010,2.866500
90010,2.768500
91010,2.704800
93010,2.891000
94010,2.817500
95010,2.891000
97010,2.900800
98010,2.842000
99010,2.861600
101010,2.881200
102010,2.744000
104010,2.655800
105010,2.631300
107010,2.734200
108010,2.763600
110010,2.793000
111010,2.871400
113010,2.768500
114010,2.773400
115010,2.856700
117010,2.734200
118010,2.827300
120010,2.587200
121010,2.552900
123010,2.601900
124010,2.768500
126010,2.773400
127010,2.793000
129010,2.724400
130012,2.709700
131010,3.214400
133010,3.018400
134010,3.106600
136010,3.087000
137010,2.876300
139010,2.920400
140011,2.910600
142010,2.881200
143010,3.150700
145010,2.930200
146010,2.984100
147010,3.106600
149010,3.194800
150010,3.062500
152010,3.072300
153010,2.989000
155010,3.096800
156010,2.930200
158010,3.096800
159010,3.101700
161010,2.940000
162010,3.101700
164010,3.106600
165010,3.253600
166010,3.131100
168010,2.876300
169010,2.866500
171010,2.935100
172010,2.944900
174010,2.979200
175010,2.974300
177010,3.116400
178010,2.940000
180010,2.984100
